name,status,variables,binaries,integers,continuous,constraints,instance_digest,manifest_digest,detail
10teams,published,2025,1800,0,225,230,sha256:9d41008affa9d4af083cf02bbb5e5397e133b90e45be244f5531a68a394a6cce,sha256:a5523fb76ea8346f6241a9ad4d1efeb6ecdf5fd9d45616801bbaa72ed3220870,
22433,published,429,231,0,198,198,sha256:2be9beb3be8e053304307700bbaaa9b0fcd96da6977f569de949bd32f9016cab,sha256:31131a6e9b03a6006baf83ed927ce07b2cf1b1b078a75ccd9eb3b90b2253dd33,
23588,published,368,231,0,137,137,sha256:60818923d2c79c173f03293b54e1b45a06a8e7636a904beb183002e33bef6513,sha256:0c1c954090e8373d8c92c0522e50142c7e40a212c52f2d0676d523ed4f4c6a9c,
2club200v15p5scn,published,200,200,0,0,17013,sha256:57a80d2df8bfce1db75aa3f77db07257449dffa528f35df45513b943e3226e5e,sha256:2d7f03538040eedf875fbf9d788655153722ea0795e0a9a54333c9b4da793b81,
30_70_45_05_100,published,10772,10771,0,1,12050,sha256:87ba1eadec14667cafe28a439bd80049a3f2597875a0844e09b7bc3724aa4194,sha256:f24f96013370cf17f0cb0756055d372c538e1041d2290b8b27ee5d54b7f896ce,
30_70_45_095_100,published,10976,10975,0,1,12526,sha256:36ea4d3bab0c68a270b63264e21780bb33cfa1ac262c74eddf24a722e68a613a,sha256:625030bbfd9ee8493686b3c4d42420dcae41e8a499a012cb41d102aaa64be2a0,
30_70_45_095_98,published,10990,10989,0,1,12471,sha256:ef696d6b75b3b50f03a6e72c538a0142df9121c3d7f819631bcf08d21d703de0,sha256:e2511b326ac8a0c78acb110760d340f15a0f7b8ef4c087e5273ec368c9cf0c18,
30n20b8,published,18380,18318,62,0,576,sha256:5dfa7c8489ba13caa9ee31f4f4f673a3397356da7115b58361ff9ed30358fc62,sha256:e03c6a26d174a0219483421db9522edd859065ab2f29974a6554e776337e28e1,
50v-10,published,2013,1464,183,366,233,sha256:e8fb0a7b38f31da34d24e6cc672fd7f94a6fe1e286c4e655f7f043e6ade06a80,sha256:e75942ee8bdef93f156f91763220491d715b560386ac9a380297dc8fac6e3282,
8div-n59k10,published,6143,6138,5,0,2065,sha256:e2112c448ae2b4abec79309eff9f1a13b7e8ef14ff01f400cfd7eb879ad7759a,sha256:691841dbf61ec6f3ffe4b027bc9fc51d6445a623e470a7b42726989f6b68102b,
8div-n59k11,published,12287,12282,5,0,4114,sha256:49a4ce968b7f5a787eb9f9be4dfde72b9ebafc37c2641137cc79956b2b4b98b5,sha256:5beeb0f2a15fe199911c347044fa6491652207ebbab6d7bd564c660ab7bfbc51,
8div-n59k12,published,24575,24570,5,0,8211,sha256:71d4ac3a4be230fa41ab14769ad6a6ef34aaee5e90bdd51375994587de15ae43,sha256:bc470e4aa793ca59e236ed28b46404303e18067e452525175796c7460d6692b2,
CMS750_4,published,11697,7196,0,4501,16381,sha256:636bf79b51c51aecaaeddef82f70fa965d1d4cb04b66264207bacc51f1d114be,sha256:b44b938d69cb43f03d759c036de1d4003f3cd8019d2a379ae6e9e338660a7685,
Test3,published,72215,33143,0,39072,50680,sha256:8e7b6d7a8a0a49c6782b594bbecd6a2ee008762353d315b5a0b3e32f835e5d7a,sha256:e37a5b075ed9f7e41af4828ac3f42acf5affd1ab378c31c10a171d85efe65b42,
a1c1s1,published,3648,192,0,3456,3312,sha256:c46aa4330448f586b0666b2431e20370b45c3832471a579ce33105d367389838,sha256:95c7db24f6bbbc4948f455cd1af72501079a1b42a065aa69a3109e611c4468e6,
