name,image,status,detail,variables,binaries,integers,continuous,constraints,instance_digest,manifest_digest,source_qplib_digest
QPLIB_0018,ghcr.io/jij-inc/ommx/v2.8/qplib:0018,published,,50,0,0,50,2,sha256:3bc0c7ea29a5a80b7554d0c5c0d0b9aa52cd09b60515b4ec435b4777c1728965,sha256:a0af15021add6404e9220c4d8a4ab2a7efd0c056be1b9990974d95d87af8cf7f,sha256:4e122ceeccc01ebc3780f638e3e8c05ad3a3e96ce26426d7c50783a06737b41d
QPLIB_0031,ghcr.io/jij-inc/ommx/v2.8/qplib:0031,published,,60,30,0,30,33,sha256:112731ed7bfd375f248df364ba96952ed7fc91405eb9a406ea6a988d11a88543,sha256:60f3b4dc12f9180e5357fea111ce237b4ee00150ddb82e21c8e51cc923932c39,sha256:abb45e99d066e665e5f7174636ac0ce4b2e8d042c915855f1907d9a9131c808d
QPLIB_0032,ghcr.io/jij-inc/ommx/v2.8/qplib:0032,published,,100,50,0,50,53,sha256:501131d65e4ace01df59295cd144d044fae615037e02710ba4062e0ae7db40ee,sha256:eef8b4255ac4cee4ab120052f622f3b317f61257206c46c66ca79a21ba507566,sha256:3cfffd5eeaa0520d5785b43bd60c96929c27f00342ef6837b528f7b95cc54046
QPLIB_0067,ghcr.io/jij-inc/ommx/v2.8/qplib:0067,published,,80,80,0,0,1,sha256:602d6240685203a28ef11d4b918ed9e114c0c5f4110f18bf5f866284b3bc4d0b,sha256:a0028ceb631df9c726c9c466ad2c64b8f642b7bfa5b07084c5765c49074520e4,sha256:874ce58281dc10d2948edd9d7c6c07c4403b61895c4c2b4becb4f2895fb2b22c
QPLIB_0343,ghcr.io/jij-inc/ommx/v2.8/qplib:0343,published,,50,0,0,50,2,sha256:46dd9136556ad4c413c5e198adbb382a8665f324ab12fe3f89ca066bc59b7101,sha256:9c1b4e07c728d62401564fd6793affdbdb7fe6a5b83106e944f9cd1c4a5d44e8,sha256:21249b60454f5667b08080f7e1403f145e4f7afd33290efac8e603f8090d36dd
QPLIB_0633,ghcr.io/jij-inc/ommx/v2.8/qplib:0633,published,,75,75,0,0,2,sha256:e2f8ac4875a4542d339e3bca75dff46be78c410e14d2d542bead4a5ff025e911,sha256:0d78ae3aeacdae0088aa7e598f94eb6d6d2173771a48dad3be6c5e0c9e208223,sha256:fb2223b3747cb0fbbf31f86e31ee9a3f93e941d5af8e2c27d28c5164074ab725
QPLIB_0678,ghcr.io/jij-inc/ommx/v2.8/qplib:0678,published,,15137,9600,0,5537,14914,sha256:95663ab965a7f31f211532b74ebfbe35e426e2d08d48cef7ef151c45c18b0e4f,sha256:1db02c1c00e513f541d50ef5b4123c4aa4daf7573731a5b7b25a43d6f159d523,sha256:7814d4e9d95aeadc7f861ef0242cf9ca16ba3c5b8254eb5d07346dca00b286f6
QPLIB_0681,ghcr.io/jij-inc/ommx/v2.8/qplib:0681,published,,215,72,0,143,538,sha256:ed7088f941737d3422c4680c1cc09603a51df90843ba06069abc3e21270af21f,sha256:57fce2590ba6f6298c49e70ee1d6c3dbc60197f74c0f4d2641ae824d0cedaf22,sha256:a33e215cb02680c41bb9a0e50b146c65c5f4c5e4e20b322228302a93cb35d449
QPLIB_0682,ghcr.io/jij-inc/ommx/v2.8/qplib:0682,published,,261,71,0,190,716,sha256:19dcc17131a1e9f92243faf7411f9af736d3a33e970eaca3b7015def2ee2d2a3,sha256:8c585728bea29cf4625dc495ed1fe93b19d40eddf46b6557d1bddc8ee04f6c82,sha256:232d27e3b95ef819b1acb2bd3283f7ba651611a0516fed5773e4281f4be1ddaa
QPLIB_0684,ghcr.io/jij-inc/ommx/v2.8/qplib:0684,published,,361,101,0,260,1102,sha256:059de52ba50b8b11f71800fbdf4f6fd359664676a6a7df397e9db13f26e46a20,sha256:7874b9d051cf4b548a2a31ad0f451db26e8021611ada7585cd7aded4bfe5a5cd,sha256:244c3c5064f4fcb36ad56199799aeda79d076dc44713dbdd21e58ea0f51f320a
QPLIB_0685,ghcr.io/jij-inc/ommx/v2.8/qplib:0685,published,,775,256,0,519,2058,sha256:8992beed8417eb8bd1cb3e57e6c51e5cc906d726dd74e1e4c043a773ee7569d7,sha256:20ac98e25436ca192a9b8b5d3f7a72bb08458df1a81e5ad404f16d5be8b7baf5,sha256:fe782ae68066aedda20970f163bbc3603229ce82772ee776723800831be6d7d7
QPLIB_0686,ghcr.io/jij-inc/ommx/v2.8/qplib:0686,published,,2204,692,0,1512,5900,sha256:7838e7da9a1fec4a38a9c29de3006557285d9ca7b1c0d0a540ba739fa6c351c3,sha256:ad2ec0fc5fe65ddc295f1dd6bb79bf2871328d016cc35e463a59b90a2b305927,sha256:c9e91cc9d6ea8876a9526a12e5cba7a6748ccb7b687a8f57bdf1002be4a27fb5
QPLIB_0687,ghcr.io/jij-inc/ommx/v2.8/qplib:0687,published,,2323,672,0,1651,6654,sha256:df5404272144908506bf2532f8cb977aba3ab1848e61716d6c9b254d7002da3e,sha256:4446d5ca6630c993695d4beab07c0912a1f9288468ccb7704fb2e3ac53ab25b1,sha256:f6394bb02f0a54605dd7007ee3efb258e3637a84676a12f902ca2024e203eef0
QPLIB_0688,ghcr.io/jij-inc/ommx/v2.8/qplib:0688,published,,5788,1964,0,3824,24028,sha256:ad96344f32e2c6b861c6daff11ab0a915e20971182db1e8bddc375d2fbc412b6,sha256:2867dddefcf1881ae4b60150c053fc986729791ba4a1ce2adeaae7549858259a,sha256:1285d8f5a0aca9064a8b6c89b42dea94f238ff187a7e74aab2031b61647694af
QPLIB_0689,ghcr.io/jij-inc/ommx/v2.8/qplib:0689,published,,1868,756,0,1112,10444,sha256:e2f005208d86b3fc0e1f50e3dcffe04561e736c45b113d824afecd11c745386d,sha256:23ea00585e9baa22ec5486de3e4d704c9e130624293ad43ef764247b381b942a,sha256:30759e35ba4948217bcde00c18ef96f0158a9d78f012dd73e8540f9b7fa9ab2b
QPLIB_0690,ghcr.io/jij-inc/ommx/v2.8/qplib:0690,published,,16476,6428,0,10048,119220,sha256:9d78b10e839e0da42bb9cdb94ef245d4bce7c32d4f05e966f3ae11921c41d67b,sha256:e6e3b773760639817a2eb505fdf500f927a8013a82e3e24b36b22f37d7cd5da1,sha256:8f8f83ae70a03f7ff4f328088535b08ad1dfde29e65a7d237cd6ef23c1461eec
QPLIB_0696,ghcr.io/jij-inc/ommx/v2.8/qplib:0696,published,,394,187,0,207,463,sha256:6a4ae4b75cd77554a69d81c3043bf3e5de81e4575f233c046c21b333f83309c8,sha256:48b018c0aa4d4a82e02f3ebbbabb40351e6623a8de5fd82b3b0d9b51817ddea1,sha256:b462667e75e1c39f70076b625b587411e83446523bb48850ec8333c49aedd715
QPLIB_0698,ghcr.io/jij-inc/ommx/v2.8/qplib:0698,published,,118,55,0,63,157,sha256:fac478ad6fb99a810d50c62424da7aa510d64f33e28caeb7e29c7c121b49fa48,sha256:c360d1df8116fa068e494d71478c90cb207887d6364bf01e7591331227da5b8a,sha256:bb7a534bf0b31fde58558f97af2b913565e660866a4e616a84afdc33c5a8a773
QPLIB_0752,ghcr.io/jij-inc/ommx/v2.8/qplib:0752,published,,250,250,0,0,1,sha256:4057b1ed6202eb344dd2ace04948bce73d3cead0e14f5f2dbe3bcdfef80a6f89,sha256:fac5c1aaaa50a82df0d81d8232f8ec63166e28e2206c7216890a0923e2717a08,sha256:c7494e773873fa49bc19d0bd40b4326836fb5deba8c7cca7b082ebe3b67d3682
QPLIB_0911,ghcr.io/jij-inc/ommx/v2.8/qplib:0911,published,,50,0,0,50,50,sha256:883ead051acd5a7397850a2e0dda0dbada2d4434bd401598b0f1df03b2ffa696,sha256:a30e6291d8881c1f40808d79b7d7d8390257c944bfdfe186c2382c1982a87709,sha256:80188bfdacb5f7375c8dc6ab414b18e1ee75f7c587398634291db8d15ae14582
QPLIB_0975,ghcr.io/jij-inc/ommx/v2.8/qplib:0975,published,,50,0,0,50,10,sha256:77cd837da22e2322a40571a8b672c06af69f31b0efa7257c0067d6e7b0736a35,sha256:a3eb5154c7193cfd707c1140492701a5e20e04a48e451beeffb39c70d935a6f3,sha256:fe97be580b7f45de3a6935727093153228bb6c9fb72a73348ae885085fbaab9d
