name,solsource,donor,nvars,ncons,nbinvars,nintvars,nsemi,nnlvars,nnlbinvars,nnlintvars,nnlsemi,nboundedvars,nsingleboundedvars,nsos1,nsos2,objsense,nobjnz,nobjnlnz,njacobiannz,njacobiannlnz,nlaghessiannz,nlaghessiandiagnz,nobjquadnz,nobjquaddiagnz,nobjquadnegev,nobjquadposev,objtype,objcurvature,conscurvature,nconvexnlcons,nconcavenlcons,nindefinitenlcons,nlincons,nquadcons,ndiagquadcons,nlaghessianblocks,laghessianminblocksize,laghessianmaxblocksize,laghessianavgblocksize,solobjvalue,solinfeasibility,probtype,nlinfunc,nquadfunc,nnlfunc,nz,nlnz,ncontvars,convex,density,nldensity,objquaddensity,objquadproblevfrac
QPLIB_0018,,Andrea Scozzari,50,1,0,0,0,50,0,0,0,0,50,0,0,min,50,50,50,0,2500,50,1275,50,24,26,quadratic,indefinite,linear,0,0,0,1,0,0,1,50,50,50.0,-6.386014982,2.220446049e-16,QCL,1,1,1,100,50,50,False,1.0,1.0,1.0,0.48
QPLIB_0031,Solution found by ALPHAECP,Andrea Scozzari,60,32,30,0,0,30,0,0,0,0,30,0,0,min,30,30,120,0,898,30,464,30,11,19,quadratic,indefinite,linear,0,0,0,32,0,0,1,30,30,30.0,15.38637379,0.0,QML,32,1,1,150,30,30,False,0.07575757575757576,1.0,0.9977777777777778,0.18333333333333332
QPLIB_0032,Solution found by ALPHAECP,Andrea Scozzari,100,52,50,0,0,50,0,0,0,0,50,0,0,min,50,50,200,0,2498,50,1274,50,25,25,quadratic,indefinite,linear,0,0,0,52,0,0,1,50,50,50.0,10.12639121,0.0,QML,52,1,1,250,50,50,False,0.04716981132075472,1.0,0.9992,0.25
QPLIB_0067,Solution found by SCIP,Ghaddar,80,1,80,0,0,80,80,0,0,0,0,0,0,min,80,80,80,0,5688,0,2844,0,38,42,quadratic,indefinite,linear,0,0,0,1,0,0,1,80,80,80.0,-110942.0,0.0,QBL,1,1,1,160,80,0,False,1.0,1.0,0.88875,0.475
QPLIB_0343,Solution found by SCIP,Leo Liberti,50,1,0,0,0,50,0,0,0,50,0,0,0,min,50,50,50,0,2500,50,1275,50,24,26,quadratic,indefinite,linear,0,0,0,1,0,0,1,50,50,50.0,-6.386014982,0.0,QCL,1,1,1,100,50,50,False,1.0,1.0,1.0,0.48
QPLIB_0633,Solution found by LOCALSOLVER,Lima and Grossmann,75,1,75,0,0,75,75,0,0,0,0,0,0,min,75,75,75,0,5550,0,2775,0,44,31,quadratic,indefinite,linear,0,0,0,1,0,0,1,75,75,75.0,79.56070622,0.0,QBL,1,1,1,150,75,0,False,1.0,1.0,0.9866666666666667,0.5866666666666667
QPLIB_0678,,MacMinlp,15137,8417,9600,0,0,1697,0,0,0,737,0,0,0,min,960,0,39160,4700,7480,0,0,0,0,0,linear,linear,indefinite,0,0,960,7457,960,0,1,1697,1697,1697.0,,,LMQ,7458,960,960,40120,4700,5537,False,0.0003148561582152509,0.0028849931251227656,0.0,0.0
QPLIB_0681,Solution found by SCIP,Maria Saumell,215,467,72,0,0,100,0,0,0,100,0,0,0,max,142,0,1647,512,416,0,0,0,0,0,linear,linear,indefinite,0,0,48,419,48,0,12,5,10,8.333333,45.24444817,1.749405308e-11,LMQ,420,48,48,1789,512,143,False,0.017779765454184058,0.10666666666666667,0.0,0.0
QPLIB_0682,Solution found by SCIP,Maria Saumell,261,597,71,0,0,148,0,0,0,148,0,0,0,max,140,0,2468,1024,832,0,0,0,0,0,linear,linear,indefinite,0,0,96,501,96,0,12,9,14,12.333333,39.6096563,5.975234847e-15,LMQ,502,96,96,2608,1024,190,False,0.016709593920988225,0.07207207207207207,0.0,0.0
QPLIB_0684,Solution found by ANTIGONE,Maria Saumell,361,943,101,0,0,204,0,0,0,204,0,0,0,max,202,0,3710,1504,1216,0,0,0,0,0,linear,linear,indefinite,0,0,128,815,128,0,16,9,14,12.75,9.2266,3.219646771e-15,LMQ,816,128,128,3912,1504,260,False,0.011479412178975539,0.05759803921568627,0.0,0.0
QPLIB_0685,,Maria Saumell,775,1795,256,0,0,364,0,0,0,364,0,0,0,max,496,0,6979,2568,2064,0,0,0,0,0,linear,linear,indefinite,0,0,192,1603,192,0,32,7,12,11.375,,,LMQ,1604,192,192,7475,2568,519,False,0.0053703570658811695,0.036744505494505496,0.0,0.0
QPLIB_0686,,Maria Saumell,2204,5080,692,0,0,1100,0,0,0,1100,0,0,0,max,1286,0,21551,9184,7360,0,0,0,0,0,linear,linear,indefinite,0,0,640,4440,640,0,80,9,14,13.75,,,LMQ,4441,640,640,22837,9184,1512,False,0.0020392866059848603,0.013045454545454546,0.0,0.0
QPLIB_0687,,Maria Saumell,2323,5675,672,0,0,1260,0,0,0,1260,0,0,0,max,1246,0,25199,11480,9200,0,0,0,0,0,linear,linear,indefinite,0,0,800,4875,800,0,80,11,16,15.75,,,LMQ,4876,800,800,26445,11480,1651,False,0.00200563534614331,0.01138888888888889,0.0,0.0
